date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:38	453/453	---M--	200	added ('OK')	image/png	etag:%2244a2bc5d6edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Assets/video.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Assets/video.png	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:29:39	343/343	---M--	200	added ('OK')	image/png	etag:%224bd7765d6edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Assets/sep.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Assets/sep.png	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:29:40	493/493	---M--	200	added ('OK')	image/png	etag:%22d520a25d6edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Assets/up.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Assets/up.png	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:29:41	504/504	---M--	200	added ('OK')	image/png	etag:%22627cb15c6edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Assets/down.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Assets/down.png	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:29:43	960046/960046	---MCZ	200	added ('OK')	application/x-javascript	etag:%2256fa744cff38d11:0%22	http://babylonjs.com/babylon.js	C:/Users/prayers/Desktop/mounts/babylonjs.com/babylon.js	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:29:43	5453/5453	---M--	200	added ('OK')	image/png	etag:%223353ec5d6edecf1:0%22	http://babylonjs.com/Scenes/Worldmonger/Assets/widelogo.png	C:/Users/prayers/Desktop/mounts/babylonjs.com/Scenes/Worldmonger/Assets/widelogo.png	(from http://babylonjs.com/Scenes/Worldmonger/index.html)
13:29:44	1738/1738	---M--	200	added ('OK')	image/gif	etag:%2254499a48-6ca%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/animated-overlay.gif	C:/Users/prayers/Desktop/mounts/code.jquery.com/ui/1.10.3/themes/smoothness/images/animated-overlay.gif	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
13:29:44	208/208	---M--	200	added ('OK')	image/png	etag:%2254499a48-d0%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	C:/Users/prayers/Desktop/mounts/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
13:29:44	280/280	---M--	200	added ('OK')	image/png	etag:%2254499a48-118%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Users/prayers/Desktop/mounts/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
13:29:45	262/262	---M--	200	added ('OK')	image/png	etag:%2254499a48-106%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/Users/prayers/Desktop/mounts/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
13:29:45	262/262	---M--	200	added ('OK')	image/png	etag:%2254499a48-106%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	C:/Users/prayers/Desktop/mounts/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
13:29:45	207/207	---M--	200	added ('OK')	image/png	etag:%2254499a48-cf%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	C:/Users/prayers/Desktop/mounts/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
